,ID,Predict_flag
0,28,1
1,230,1
2,429,1
3,693,1
4,727,1
5,990,1
6,1137,1
7,1274,1
8,1560,1
9,1873,1
10,2260,1
11,2694,1
12,2992,1
13,3261,1
14,3313,1
15,3537,1
16,3719,1
17,3720,1
18,3742,1
19,3770,1
20,4107,1
21,4321,1
22,4911,1
23,5267,1
24,5646,1
25,6172,1
26,6357,1
27,6370,1
28,7662,1
29,7706,1
30,7824,1
31,7865,1
32,8444,1
33,8492,1
34,8608,1
35,8663,1
36,8854,1
37,8872,1
38,8972,1
39,9095,1
40,9124,1
41,9476,1
42,9542,1
43,9663,1
44,9998,1
45,10470,1
46,10813,1
47,10869,1
48,10994,1
49,10995,1
50,10999,1
51,11796,1
52,12192,1
53,12233,1
54,12404,1
55,12418,1
56,12660,1
57,13491,1
58,13593,1
59,13957,1
60,14254,1
61,14485,1
62,14520,1
63,14555,1
64,15099,1
65,15197,1
66,15385,1
67,15416,1
68,15685,1
69,15886,1
70,16069,1
71,16326,1
72,16758,1
73,16884,1
74,16999,1
75,17641,1
76,17646,1
77,18216,1
78,18366,1
79,18509,1
80,18837,1
81,18932,1
82,19112,1
83,19317,1
84,19501,1
85,19559,1
86,19651,1
87,19876,1
88,20333,1
89,20540,1
90,20686,1
91,20812,1
92,20853,1
93,20921,1
94,21044,1
95,21593,1
96,21913,1
97,21933,1
98,21985,1
99,22166,1
100,22549,1
101,22785,1
102,22869,1
103,23208,1
104,23245,1
105,23491,1
106,23961,1
107,24265,1
108,24611,1
109,24623,1
110,25111,1
111,25208,1
112,25529,1
113,25732,1
114,25947,1
115,26293,1
116,26448,1
117,26730,1
118,26885,1
119,26888,1
120,27003,1
121,27258,1
122,27622,1
123,27678,1
124,27935,1
125,28415,1
126,28529,1
127,29118,1
128,29357,1
129,29403,1
130,29427,1
131,29593,1
132,29601,1
133,29967,1
134,29976,1
135,30132,1
136,30246,1
137,30264,1
138,30302,1
139,30369,1
140,31143,1
141,31438,1
142,31622,1
143,31842,1
144,32128,1
145,32253,1
146,32388,1
147,32579,1
148,32676,1
149,32760,1
150,32969,1
151,32995,1
152,33282,1
153,34049,1
154,34074,1
155,34248,1
156,34308,1
157,34470,1
158,34569,1
159,34772,1
160,34823,1
161,35119,1
162,35426,1
163,35492,1
164,35662,1
165,35703,1
166,35750,1
167,35844,1
168,35887,1
169,36046,1
170,36360,1
171,36679,1
172,36727,1
173,36740,1
174,36941,1
175,37342,1
176,37412,1
177,37653,1
178,37721,1
179,38023,1
180,38032,1
181,38062,1
182,38296,1
183,38401,1
184,38406,1
185,38610,1
186,38611,1
187,38714,1
188,38764,1
189,38864,1
190,38946,1
191,39802,1
192,40190,1
193,40231,1
194,40950,1
195,41027,1
196,41159,1
197,41345,1
198,41405,1
199,41451,1
200,41570,1
201,41860,1
202,41906,1
203,42114,1
204,42406,1
205,42484,1
206,42739,1
207,42770,1
208,43021,1
209,44291,1
210,44974,1
211,45221,1
212,45362,1
213,45750,1
214,45825,1
215,46259,1
216,46274,1
217,46556,1
218,46787,1
219,47053,1
220,47264,1
221,47267,1
222,47352,1
223,47417,1
224,47464,1
225,47871,1
226,47964,1
227,48204,1
228,48222,1
229,48228,1
230,48254,1
231,48272,1
232,48367,1
233,48533,1
234,49019,1
235,49446,1
236,49469,1
237,49545,1
238,49822,1
239,49879,1
240,50052,1
241,50164,1
242,50191,1
243,50741,1
244,50937,1
245,51078,1
246,51148,1
247,51343,1
248,51422,1
249,51503,1
250,51832,1
251,51833,1
252,51869,1
253,52105,1
254,52327,1
255,52328,1
256,52443,1
257,52797,1
258,53346,1
259,53589,1
260,53829,1
261,54161,1
262,54328,1
263,54813,1
264,55206,1
265,55417,1
266,55465,1
267,55990,1
268,56210,1
269,56906,1
270,57172,1
271,57184,1
272,57345,1
273,57449,1
274,57506,1
275,57751,1
276,57799,1
277,57871,1
278,58140,1
279,58233,1
280,58343,1
281,59433,1
282,59532,1
283,59684,1
284,59893,1
285,59960,1
286,60054,1
287,60100,1
288,60247,1
289,60704,1
290,60954,1
291,60979,1
292,61196,1
293,61570,1
294,62254,1
295,62367,1
296,62451,1
297,62740,1
298,62799,1
299,62889,1
300,62957,1
301,63570,1
302,63653,1
303,63724,1
304,64092,1
305,64162,1
306,64176,1
307,64721,1
308,64736,1
309,64925,1
310,65075,1
311,65530,1
312,65679,1
313,65722,1
314,65868,1
315,66064,1
316,66460,1
317,66514,1
318,66611,1
319,66612,1
320,67221,1
321,67236,1
322,67350,1
323,67446,1
324,67479,1
325,67560,1
326,67601,1
327,69810,1
328,69817,1
329,70257,1
330,70322,1
331,70426,1
332,70469,1
333,70567,1
334,70682,1
335,71205,1
336,71313,1
337,71329,1
338,71713,1
339,71721,1
340,72335,1
341,73286,1
342,73401,1
343,73507,1
344,73568,1
345,73593,1
346,73944,1
347,74454,1
348,74506,1
349,74690,1
350,74812,1
351,74820,1
352,74854,1
353,75025,1
354,75936,1
355,76474,1
356,76514,1
357,76698,1
358,76930,1
359,76936,1
360,77132,1
361,77260,1
362,77280,1
363,77441,1
364,77443,1
365,77844,1
366,78030,1
367,78079,1
368,78489,1
369,78840,1
370,78969,1
371,79148,1
372,79420,1
373,79445,1
374,79572,1
375,79604,1
376,79742,1
377,79772,1
378,79829,1
379,80270,1
380,80564,1
381,80597,1
382,80901,1
383,81173,1
384,81237,1
385,83043,1
386,83045,1
387,83051,1
388,83301,1
389,83708,1
390,83725,1
391,83744,1
392,84018,1
393,84070,1
394,85181,1
395,85201,1
396,85559,1
397,85727,1
398,86245,1
399,86397,1
400,86424,1
401,86620,1
402,86798,1
403,87041,1
404,87159,1
405,87602,1
406,87712,1
407,87861,1
408,88816,1
409,89084,1
410,89406,1
411,89911,1
412,89965,1
413,90008,1
414,90049,1
415,90058,1
416,90872,1
417,91494,1
418,91570,1
419,91676,1
420,91830,1
421,91969,1
422,92055,1
423,92056,1
424,92498,1
425,92848,1
426,92934,1
427,93227,1
428,93481,1
429,93748,1
430,94202,1
431,94255,1
432,94340,0
433,94762,1
